age,temp,ci
22,17.31995429,
21,17.26485506,
20,17.21069571,
19,17.15742235,
18,17.10497987,
17,17.05331269,
16,17.00236431,
15,16.95207754,
14,16.90239478,
13,16.85325851,
12,16.80461165,
11,16.75639799,
10,16.70856268,
9,16.66105262,
8,16.61381696,
7,16.56680759,
6,16.5199796,
5,16.47329182,
4,16.42670733,
3,16.38019395,
2,16.33372486,
1,16.28727907,
0,16.24084207,
