"first_author","publication_year","doi","source","scope","category","time_period","temporal_resolution","spatial_scale","taxonomic_group","paper_type","framing_title","framing_abstract","scope_multi_species","scope_multi_higher_class_and_up","reporting_significance","reporting_effect_size","reporting_uncertainty_w_effect_size","attribution_component","attribution_quant_test","relevance_for_prediction_potentially_1","relevance_for_prediction_directly_1","scored_sum"
"Leckie","2002","https://doi.org/10.1029/2001PA000623","AR5 Ch6","ecological","deep-time","mid-Cretaceous","millions of years","Global","planktonic foram & nannofossil","Original data",0,0,1,1,0,1,0,1,0,0,0,4
"Lindley","2010","https://doi.org/10.1098/rsbl.2010.0394","AR5 Ch6","ecological","modern","1947-2008","1 year","Basin","decapod & bivalves","Original data",1,1,1,1,1,1,0,1,0,1,0,8
"Mackas","1998","https://doi.org/10.1139/f98-080","AR5 Ch6","ecological","modern","1956-1998","1 year","Local","copepod","Original data",0,1,0,0,1,1,1,1,1,1,1,8
"MacLeod","2005","https://doi.org/10.1016/j.biocon.2005.02.004","AR5 Ch6","ecological","modern","1948-2003","1 year","Regional","cetaceans","Original data",1,1,1,0,1,1,0,1,0,1,0,7
"McQuatters-Gollop","2011","https://doi.org/10.1038/nature09950","AR5 Ch6","ecological","modern","1950-2010","1 year","Basin","Phytoplankton","Review (new analysis)",0,0,1,1,0,0,0,0,0,0,0,2
"Neuheimer","2011","https://doi.org/10.1038/nclimate1084","AR5 Ch6","ecological","modern","1900-2010","1 year","Regional","Fish","Original data",1,1,0,0,1,1,1,1,1,1,1,9
"Ohman","2009","https://doi.org/10.1029/2009GL039901","AR5 Ch6","ecological","modern","1951-2008","1 year","Basin","calcareous holozooplankton","Original data",1,0,1,1,1,1,1,0,0,0,0,6
"Ottersen","2006","https://doi.org/10.1111/j.1365-2419.2006.00404.x","AR5 Ch6","ecological","modern","1946-2002","1 year","Regional","cod","Original data",1,1,0,0,1,1,0,1,1,1,1,8
"Pershing","2005","https://doi.org/10.1016/j.icesjms.2005.04.025","AR5 Ch6","ecological","modern","1961-2005","1 year","Regional","zooplankton","Original data",0,0,1,0,1,1,0,0,0,0,0,3
"Pershing","2010","https://doi.org/10.1093/plankt/fbq058","AR5 Ch6","ecological","modern","1958-2006","1 year","Basin","copepods","Original data",0,0,1,0,1,0,0,0,0,0,0,2
"Pinsky","2012","https://doi.org/10.1007/s10584-012-0599-x","AR5 Ch6","ecological","modern","1970-2010","1 year","Regional","lobster, flounder, hake","Original data",1,1,1,1,1,1,1,1,1,1,1,11
"Pinsky","2013","https://doi.org/10.1126/science.1239352","AR5 Ch6","ecological","modern","1968-2011","1 year","Continent","marine taxa","Meta-analysis/Compilation",1,1,1,1,1,1,1,1,1,1,1,11
"Richardson","2004","https://doi.org/10.1126/science.1100958","AR5 Ch6","ecological","modern","1958-2002","1 year","Basin","plankton","Meta-analysis/Compilation",1,1,1,1,1,1,1,1,1,1,1,11
"Richardson","2008","https://doi.org/10.4319/lo.2008.53.5.2040","AR5 Ch6","ecological","modern","1946-2003","1 year","Basin","jellyfish","Original data",1,1,1,0,1,1,1,0,0,0,0,6
"Ridgewell","2010","https://doi.org/10.1038/ngeo755","AR5 Ch6","ecological","deep-time","PETM","1 year","Global","marine calcifiers","Modelling",1,1,1,1,0,0,0,1,0,1,0,6
"Saba","2011","https://doi.org/10.1038/nclimate1582","AR5 Ch6","ecological","modern/future","1900-2100","1 year","Local","marine turtles","Modelling",1,1,0,0,0,1,1,1,0,1,1,7
"Sabatés","2006","https://doi.org/10.1111/j.1365-2486.2006.01246.x","AR5 Ch6","ecological","modern","1950-2004","1 year","Regional","fish","Original data",1,1,0,0,1,1,1,1,1,1,1,9
"Salvadeo","2010","https://doi.org/10.3354/esr00252","AR5 Ch6","ecological","modern","1978-2010","1 year","Regional","dolphin","Original data",1,1,0,0,0,0,0,0,0,0,0,2
"Scheibner","2008","https://doi.org/10.1016/j.earscirev.2008.07.002","AR5 Ch6","ecological","deep-time","early Paleogene","millions of years","Basin","corals and foraminifera","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Schlüter","2008","https://doi.org/10.1007/s10236-008-0146-5","AR5 Ch6","ecological","modern","1975-2004","1 year","Regional","plankton and fish","Original data",1,1,1,1,1,1,0,1,1,1,0,9
"Schlüter","2010","https://doi.org/10.1111/j.1365-2486.2010.02246.x","AR5 Ch6","ecological","modern","1975-2005","1 year","Local","zooplankton","Original data",1,1,1,1,0,1,1,1,1,1,1,10
"Stige","2010","https://doi.org/10.1098/rspb.2010.0602","AR5 Ch6","ecological","modern","1959-1990","1 year","Basin","cod, capelin, herring and haddock, their predators, competitors and zooplanktonic prey","Original data",1,1,1,1,1,1,1,1,1,1,1,11
"Takasuka","2008","https://doi.org/10.3354/meps07407","AR5 Ch6","ecological","modern","1978-2004","1 year","Regional","fish","Modelling",1,1,1,0,1,1,0,1,1,1,1,9
"Thomas","2003","http://dx.doi.org/10.1130/0-8137-2369-8.319","AR5 Ch6","ecological","deep-time","PETM","10000 years","Local","benthic foraminifera","Original data",1,1,1,0,0,1,0,1,0,1,0,6
"Thomas","2007","https://doi.org/10.1130/2007.2424(01)","AR5 Ch6","ecological","deep-time","Cenozoic","10000 years","Global","benthic foraminifera","Review (new analysis)",0,1,1,0,0,0,0,1,0,0,0,3
"Van Houtan","2011","https://doi.org/10.1371/journal.pone.0019043","AR5 Ch6","ecological","modern/future","1950-20140","1 year","Regional","loggerhead sea turtle","Modelling",1,1,0,0,1,1,1,1,1,1,1,9
"Watanabe","2008","https://doi.org/10.1029/2007GL032188","AR5 Ch6","ecological","modern","1968-2008","1 year","Regional","phytoplankton","Original data",1,1,1,0,1,1,0,0,0,1,0,6
"Webb","2009","https://doi.org/10.1130/G30074A.1","AR5 Ch6","ecological","deep-time","PETM","10000 years","Local","benthic microplankton","Original data",1,1,1,1,1,1,0,1,0,1,0,8
