"first_author","year","title","doi"
"Madella, M",2006,"Palaeoecology and the Harappan Civilisation of South Asia: a reconsideration","10.1016/j.quascirev.2005.10.012"
"Ponel, P",2005,"Lateglacial palaeoenvironments and palaeoclimates from Conty and Houdancourt, northern France, reconstructed from Beetle remains","10.1016/j.quascirev.2004.12.010"
"Wolfe, BB",2005,"Impacts of climate and river flooding on the hydro-ecology of a floodplain basin, Peace-Athabasca Delta, Canada since AD 1700","10.1016/j.yqres.2005.05.001"
"Millar, CI",2006,"Late Holocene forest dynamics, volcanism, and climate change at Whitewing Mountain and San Joaquin Ridge, Mono County, Sierra Nevada, CA, USA","10.1016/j.yqres.2006.05.001"
"McLachlan, JS",2005,"Molecular indicators of tree migration capacity under rapid climate change","10.1890/04-1036"
"Koch, PL",2006,"Late quaternary extinctions: State of the debate","10.1146/annurev.ecolsys.34.011802.132415"
"Bauer, IE",2004,"Modelling effects of litter quality and environment on peat accumulation over different time-scales","10.1111/j.0022-0477.2004.00905.x"
"Davies, AL",2007,"Upland agriculture and environmental risk: a new model of upland land-use based on high spatial-resolution palynological data from West Affric, NW Scotland","10.1016/j.jas.2007.02.003"
"Barnosky, AD",2004,"Assessing the causes of Late Pleistocene extinctions on the continents","10.1126/science.1101476"
"Campbell, KA",2006,"Hydrocarbon seep and hydrothermal vent paleoenvironments and paleontology: Past developments and future research directions","10.1016/j.palaeo.2005.06.018"
"Weng, CY",2006,"Deglaciation and Holocene climate change in the western Peruvian Andes","10.1016/j.yqres.2006.01.004"
"Ortiz-Jaureguizar, E",2006,"Paleoenvironmental evolution of southern South America during the Cenozoic","10.1016/j.jaridenv.2006.01.007"
"Abramovich, S",2003,"Planktonic foraminiferal response to the latest Maastrichtian abrupt warm event: a case study from South Atlantic DSDP Site 525A","10.1016/S0377-8398(03)00021-5"
"Foster, DR",2006,"A climatic driver for abrupt mid-Holocene vegetation dynamics and the hemlock decline in New England","10.1890/0012-9658(2006)87[2959:ACDFAM]2.0.CO;2"
"Latalowa, M",2006,"The Allerod/Younger Dryas transition in Wolin Island, northwest Poland, as reflected by pollen, macrofossils, and chemical content of an organic layer separating two aeolian series","10.1007/s00334-006-0062-x"
"Wang, XM",2007,"Vertebrate paleontology, biostratigraphy, geochronology, and paleoenvironment of Qaidam Basin in northern Tibetan Plateau","10.1016/j.palaeo.2007.06.007"
"Higuera, PE",2005,"Reconstructing fire regimes with charcoal from small-hollow sediments: a calibration with tree-ring records of fire","10.1191/0959683605hl789rp"
"Brigham-Grette, J",2007,"Overview and significance of a 250 ka paleoclimate record from El'gygytgyn Crater Lake, NE Russia","10.1007/s10933-006-9017-6"
"Aguirre, ML",2005,"Late Quaternary molluscan assemblages from the coastal area of Bahia Bustamante (Patagonia, Argentina): Paleoecology and paleoenvironments","10.1016/j.jsames.2005.05.006"
